StartTime,EndTime,Steps,Calories,Distance(meters),ActiveTime(seconds)
2025-12-13 14:45:00,2025-12-13 14:57:01,85,3,60,46
2025-12-13 15:08:21,2025-12-13 15:15:00,61,2,43,33
2025-12-13 15:15:00,2025-12-13 15:30:00,594,24,422,324
2025-12-13 15:30:00,2025-12-13 15:34:53,52,2,37,28
2025-12-13 16:10:01,2025-12-13 16:12:15,152,6,108,82
2025-12-13 16:26:55,2025-12-13 16:29:04,37,1,26,20
2025-12-13 16:31:05,2025-12-13 16:34:24,46,1,32,25
2025-12-13 18:18:09,2025-12-13 18:24:57,71,2,50,38
2025-12-13 18:45:50,2025-12-13 18:46:55,19,0,13,10
2025-12-13 19:52:34,2025-12-13 19:53:44,19,0,13,10
2025-12-13 20:58:14,2025-12-13 20:59:17,11,0,7,6
2025-12-13 21:59:32,2025-12-13 22:00:00,4,0,2,2
2025-12-13 22:00:00,2025-12-13 22:12:01,90,3,64,49
2025-12-13 22:15:00,2025-12-13 22:22:22,112,4,79,61
2025-12-13 22:44:44,2025-12-13 22:45:00,2,0,1,1
2025-12-13 22:45:00,2025-12-13 22:59:34,553,22,393,301
2025-12-13 23:15:03,2025-12-13 23:24:00,818,33,582,446
2025-12-13 23:15:00,2025-12-13 23:24:00,818,33,582,446
2025-12-14 00:29:41,2025-12-14 00:30:00,3,0,2,1
2025-12-14 00:30:00,2025-12-14 00:31:52,20,0,14,10
2025-12-14 09:28:00,2025-12-14 09:29:17,34,1,24,18
2025-12-14 09:41:42,2025-12-14 09:45:00,69,2,49,37
2025-12-14 09:45:00,2025-12-14 09:45:30,10,0,7,5
2025-12-14 10:24:02,2025-12-14 10:30:00,299,12,212,163
2025-12-14 10:30:00,2025-12-14 10:45:00,1368,55,974,746
2025-12-14 10:45:00,2025-12-14 11:00:00,1188,48,845,648
2025-12-14 11:00:00,2025-12-14 11:15:00,272,10,193,148
2025-12-14 11:15:00,2025-12-14 11:30:00,1179,47,839,643
2025-12-14 11:30:00,2025-12-14 11:45:00,852,34,606,464
2025-12-14 11:45:00,2025-12-14 12:00:00,946,38,673,516
2025-12-14 12:00:00,2025-12-14 12:15:00,935,37,665,510
2025-12-14 12:15:00,2025-12-14 12:29:52,343,13,244,187
2025-12-14 12:30:25,2025-12-14 12:45:00,283,11,201,154
2025-12-14 12:45:00,2025-12-14 12:59:59,242,9,172,132
2025-12-14 13:00:00,2025-12-14 13:15:00,305,12,217,166
2025-12-14 13:15:00,2025-12-14 13:30:00,648,26,461,353
2025-12-14 13:30:00,2025-12-14 13:45:00,573,23,407,312
2025-12-14 13:45:00,2025-12-14 14:00:00,609,24,433,332
2025-12-14 14:00:00,2025-12-14 14:14:07,774,31,551,422
2025-12-14 14:15:05,2025-12-14 14:30:00,907,36,645,494
2025-12-14 14:30:00,2025-12-14 14:36:56,223,8,158,121
2025-12-14 15:03:11,2025-12-14 15:14:25,43,1,30,23
2025-12-14 15:15:21,2025-12-14 15:17:48,29,1,20,15
2025-12-14 15:37:11,2025-12-14 15:41:07,32,1,22,17
2025-12-14 15:45:47,2025-12-14 15:56:31,329,13,234,179
2025-12-14 16:57:08,2025-12-14 16:58:38,56,2,39,30
2025-12-14 17:01:08,2025-12-14 17:15:00,275,11,195,150
2025-12-14 17:15:00,2025-12-14 17:29:08,47,1,33,25
2025-12-14 17:57:59,2025-12-14 17:58:59,14,0,9,7
2025-12-14 18:59:51,2025-12-14 19:00:00,2,0,1,1
2025-12-14 19:00:00,2025-12-14 19:01:43,26,1,18,14
2025-12-14 19:35:37,2025-12-14 19:44:05,94,3,66,51
2025-12-14 19:45:36,2025-12-14 19:54:04,91,3,64,49
2025-12-14 20:06:12,2025-12-14 20:14:01,63,2,44,34
2025-12-14 20:16:16,2025-12-14 20:30:00,14,0,9,7
2025-12-14 20:30:00,2025-12-14 20:44:44,170,6,121,92
2025-12-14 20:46:57,2025-12-14 21:00:00,165,6,117,90
2025-12-14 21:00:00,2025-12-14 21:12:02,120,4,85,65
2025-12-14 21:24:53,2025-12-14 21:30:00,56,2,39,30
2025-12-14 21:30:00,2025-12-14 21:44:52,47,1,33,25
2025-12-14 21:45:59,2025-12-14 21:46:59,13,0,9,7
2025-12-14 22:04:33,2025-12-14 22:10:36,83,3,59,45
2025-12-14 23:38:13,2025-12-14 23:39:17,15,0,10,8
2025-12-14 23:50:56,2025-12-14 23:59:25,55,2,39,30
2025-12-14 23:45:00,2025-12-14 23:59:25,55,2,39,30
2025-12-15 00:00:00,2025-12-15 00:00:32,22,0,15,12
2025-12-15 09:46:18,2025-12-15 09:47:33,30,1,21,16
2025-12-15 10:00:35,2025-12-15 10:06:31,62,2,44,33
2025-12-15 10:26:20,2025-12-15 10:27:25,17,0,12,9
2025-12-15 10:30:47,2025-12-15 10:31:59,12,0,8,6
2025-12-15 14:57:24,2025-12-15 15:00:00,24,0,17,13
2025-12-15 15:00:00,2025-12-15 15:10:30,70,2,49,38
2025-12-15 15:28:18,2025-12-15 15:30:00,17,0,12,9
2025-12-15 15:30:00,2025-12-15 15:43:25,142,5,101,77
